Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1768972462.342293,1768972462.342626,37.0,0.0,4339.871582,4295.0,4375.897461,4315.0,4371.282227,4393.077148,4385.256348,4421.410156,4362.692383,4293.589844,4487.94873,4548.333496,4396.666504,4401.538574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.350102,1768972462.350534,38.0,0.0,4342.179688,4293.077148,4373.974121,4312.05127,4367.436035,4383.077148,4378.077148,4422.05127,4366.153809,4295.256348,4491.282227,4551.025879,4397.692383,4400.384766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.35791,1768972462.358342,39.0,0.0,4339.487305,4287.94873,4371.025879,4310.897461,4364.487305,4387.563965,4389.230957,4426.538574,4370.641113,4297.179688,4491.025879,4553.974121,4398.589844,4398.589844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.365719,1768972462.366351,40.0,0.0,4331.153809,4288.846191,4370.512695,4311.410156,4368.461426,4392.692383,4391.538574,4421.282227,4365.641113,4295.384766,4481.922852,4552.05127,4398.589844,4394.743652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.373527,1768972462.374159,41.0,0.0,4327.563965,4285.256348,4370.256348,4310.128418,4370.641113,4384.743652,4381.794922,4418.974121,4361.922852,4293.333496,4475.256348,4544.871582,4398.077148,4388.974121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.381336,1768972462.381868,42.0,0.0,4334.487305,4285.512695,4371.153809,4312.692383,4369.102539,4383.974121,4383.461426,4422.307617,4362.307617,4293.461426,4475.256348,4540.512695,4396.922852,4389.615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.389144,1768972462.389676,43.0,0.0,4342.05127,4294.230957,4374.615234,4318.589844,4372.436035,4395.897461,4393.589844,4422.179688,4360.512695,4295.641113,4479.102539,4544.487305,4398.589844,4395.128418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.396953,1768972462.397285,44.0,0.0,4337.820313,4291.410156,4373.461426,4317.307617,4372.94873,4398.589844,4394.230957,4419.487305,4356.794922,4289.358887,4476.794922,4543.333496,4395.512695,4389.615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.404761,1768972462.405093,45.0,0.0,4326.538574,4278.205078,4362.820313,4304.615234,4365.0,4390.0,4389.230957,4417.307617,4354.615234,4278.589844,4464.615234,4530.128418,4381.410156,4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972462.412569,1768972462.412802,46.0,0.0,4322.179688,4272.94873,4355.0,4297.94873,4361.410156,4385.641113,4387.179688,4419.102539,4357.05127,4284.487305,4460.512695,4524.230957,4376.666504,4370.0,0.539817,0.397066,0.123167,0.179261,0.157763,0.657627,0.385957,0.16192,0.156565,0.076334,0.100239,0.182668,0.139155,0.106793,0.093607,0.225221,0.294657,0.183924,0.091163,0.061518,0.090432,0.14125,0.208561,0.089691,0.065063,0.170329,0.242143,0.136087,0.163318,0.128362,0.059325,0.130448,0.126565,0.132303,0.109919,0.091754,0.225992,0.060338,0.118695,0.128363,0.148271,0.256305,0.204431,0.156365,0.089933,0.31903,0.161314,0.196861,0.165944,0.067692,0.379996,0.136408,0.200378,0.180056,0.185903,0.279826,0.204531,0.270411,0.204911,0.155666,0.294018,0.21091,0.180808,0.170909,0.184205,0.231319,0.299226,0.271622,0.162779,0.220471
