Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1768918332.280364,1768918332.281424,115.0,0.0,4342.436035,4212.94873,4368.974121,4342.436035,4232.436035,4294.871582,4312.563965,4338.205078,4270.256348,4282.307617,4523.589844,4538.974121,4398.333496,4463.077148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.288172,1768918332.289432,116.0,0.0,4338.846191,4211.538574,4365.256348,4339.743652,4232.179688,4293.589844,4316.922852,4337.692383,4268.077148,4281.025879,4524.102539,4538.077148,4394.102539,4458.717773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.295981,1768918332.29724,117.0,0.0,4335.128418,4213.077148,4358.461426,4340.769043,4231.025879,4290.384766,4311.666504,4337.563965,4269.615234,4276.666504,4523.205078,4537.820313,4395.769043,4457.307617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.303789,1768918332.304948,118.0,0.0,4338.205078,4214.487305,4364.615234,4342.692383,4233.461426,4293.589844,4316.410156,4343.717773,4274.615234,4280.641113,4530.641113,4542.820313,4400.897461,4464.358887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.311598,1768918332.312756,119.0,0.0,4347.94873,4217.94873,4380.512695,4349.230957,4232.436035,4302.692383,4329.615234,4349.102539,4275.512695,4287.307617,4541.282227,4547.436035,4405.769043,4471.538574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.319406,1768918332.320364,120.0,0.0,4352.820313,4222.307617,4382.05127,4353.589844,4229.358887,4296.025879,4319.358887,4346.025879,4271.282227,4282.563965,4539.102539,4542.563965,4407.692383,4466.794922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.327215,1768918332.328172,121.0,0.0,4349.358887,4220.256348,4370.512695,4350.512695,4229.743652,4280.769043,4300.256348,4335.897461,4264.871582,4278.077148,4531.153809,4535.0,4409.230957,4459.102539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.335023,1768918332.33588,122.0,0.0,4345.384766,4217.820313,4368.333496,4350.897461,4232.05127,4286.282227,4306.153809,4333.205078,4264.743652,4283.717773,4533.589844,4539.230957,4412.436035,4466.153809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.342832,1768918332.343688,123.0,0.0,4342.05127,4225.256348,4371.410156,4355.384766,4231.794922,4301.025879,4321.282227,4342.436035,4273.077148,4285.897461,4540.128418,4548.077148,4414.615234,4476.025879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918332.35064,1768918332.351696,124.0,0.0,4341.282227,4232.692383,4366.282227,4354.230957,4232.692383,4297.436035,4318.461426,4342.692383,4275.128418,4280.128418,4534.871582,4542.692383,4412.436035,4470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
