Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1768973112.504684,1768973112.505471,101.0,0.0,4372.05127,4362.563965,4358.461426,4382.307617,4369.871582,4379.743652,4362.94873,4374.230957,4364.102539,4352.436035,4460.384766,4507.563965,4404.743652,4442.563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.512492,1768973112.51318,102.0,0.0,4376.538574,4366.153809,4358.846191,4384.871582,4372.563965,4383.077148,4366.410156,4373.333496,4360.0,4349.615234,4460.512695,4501.025879,4402.436035,4439.743652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.520301,1768973112.520988,103.0,0.0,4376.282227,4363.205078,4360.769043,4387.179688,4372.820313,4387.692383,4374.743652,4379.487305,4361.153809,4347.179688,4457.436035,4505.256348,4397.05127,4435.256348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.528109,1768973112.528597,104.0,0.0,4376.666504,4360.641113,4358.589844,4386.025879,4370.128418,4379.743652,4366.666504,4378.205078,4362.436035,4350.897461,4456.410156,4511.153809,4402.563965,4437.307617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.535917,1768973112.536405,105.0,0.0,4378.205078,4362.563965,4358.846191,4383.717773,4367.563965,4373.846191,4360.0,4381.794922,4369.871582,4358.461426,4461.025879,4511.794922,4411.538574,4441.410156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.543726,1768973112.544114,106.0,0.0,4374.871582,4364.615234,4362.307617,4385.512695,4367.563965,4378.205078,4366.410156,4387.563965,4373.974121,4357.563965,4462.179688,4509.358887,4406.794922,4435.769043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.551534,1768973112.551922,107.0,0.0,4375.769043,4366.153809,4361.666504,4387.820313,4369.102539,4378.846191,4365.769043,4381.410156,4365.512695,4347.05127,4456.410156,4508.205078,4397.692383,4429.615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.559343,1768973112.55993,108.0,0.0,4380.512695,4368.974121,4356.410156,4384.102539,4367.94873,4375.384766,4361.025879,4376.666504,4359.871582,4343.846191,4453.589844,4505.897461,4393.717773,4434.615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.567151,1768973112.567739,109.0,0.0,4381.025879,4375.769043,4356.153809,4382.692383,4367.436035,4378.333496,4368.333496,4384.871582,4367.179688,4354.230957,4457.436035,4503.205078,4397.179688,4442.94873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768973112.57496,1768973112.575647,110.0,0.0,4379.358887,4377.563965,4358.717773,4386.153809,4369.615234,4381.794922,4374.487305,4391.282227,4376.794922,4358.589844,4460.0,4505.897461,4406.538574,4446.410156,0.9257,0.290091,0.113656,0.240968,0.141768,1.043071,0.387056,0.076633,0.170241,0.15055,1.066109,0.31947,0.180939,0.153587,0.085662,0.83025,0.454064,0.14559,0.152425,0.085833,0.310425,0.182788,0.043869,0.042127,0.053118,0.116538,0.050776,0.108318,0.055787,0.11604,0.335073,0.087896,0.201373,0.075873,0.105191,0.336078,0.395584,0.203253,0.141772,0.11363,0.519317,0.503323,0.224448,0.168418,0.112928,0.183061,0.437464,0.301954,0.135262,0.076164,0.470758,0.737257,0.295702,0.30357,0.249242,1.695035,0.562351,0.146506,0.211901,0.12823,0.399626,0.606488,0.394653,0.250868,0.210296,0.683638,0.776519,0.222055,0.329747,0.244448
