Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1768972966.361918,1768972966.362279,73.0,0.0,4378.846191,4374.743652,4362.307617,4386.794922,4381.025879,4378.717773,4375.512695,4383.974121,4371.666504,4352.94873,4463.717773,4537.307617,4411.153809,4444.871582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.369727,1768972966.370187,74.0,0.0,4374.230957,4379.230957,4359.487305,4386.666504,4381.794922,4382.820313,4384.487305,4389.358887,4382.563965,4361.282227,4471.410156,4537.820313,4412.94873,4444.743652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.377535,1768972966.377995,75.0,0.0,4379.102539,4379.871582,4356.666504,4386.282227,4382.692383,4379.871582,4379.871582,4388.333496,4381.538574,4357.563965,4464.871582,4533.333496,4410.0,4437.563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.385343,1768972966.386004,76.0,0.0,4386.025879,4374.743652,4358.461426,4387.436035,4379.743652,4372.179688,4372.692383,4385.897461,4378.589844,4352.05127,4457.692383,4535.512695,4408.846191,4442.692383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.393152,1768972966.393812,77.0,0.0,4386.410156,4375.128418,4361.922852,4388.461426,4380.769043,4375.128418,4379.102539,4390.641113,4382.307617,4355.256348,4462.94873,4539.230957,4411.794922,4446.794922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.40096,1768972966.401521,78.0,0.0,4387.307617,4379.871582,4364.487305,4392.307617,4385.769043,4383.461426,4382.307617,4393.461426,4383.589844,4357.820313,4468.717773,4542.94873,4410.0,4443.205078,0.509304,0.223108,0.276093,0.23065,0.174339,1.014657,0.339091,0.395933,0.23704,0.124218,0.192842,0.21017,0.165649,0.0667,0.078717,0.206185,0.190014,0.172111,0.079097,0.091412,0.056855,0.191964,0.101765,0.056268,0.036421,0.329445,0.418904,0.192983,0.117079,0.215573,0.216613,0.404533,0.172444,0.134096,0.250192,0.226437,0.216706,0.084876,0.05906,0.068165,0.622386,0.159435,0.056616,0.092427,0.059766,0.471916,0.254883,0.153562,0.19728,0.113394,0.623504,0.341411,0.20977,0.175327,0.234329,0.532078,0.339661,0.226179,0.196031,0.182866,1.161222,0.3094,0.215132,0.251733,0.223807,0.70449,0.326135,0.330459,0.223039,0.251029
1768972966.408769,1768972966.409329,79.0,0.0,4389.615234,4382.307617,4368.333496,4395.128418,4384.871582,4383.974121,4376.922852,4388.974121,4380.256348,4356.666504,4467.179688,4545.384766,4405.512695,4444.102539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.416577,1768972966.417337,80.0,0.0,4385.641113,4381.410156,4367.436035,4390.128418,4381.410156,4381.922852,4377.436035,4388.846191,4381.922852,4359.871582,4469.743652,4547.307617,4406.025879,4443.205078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.424386,1768972966.425146,81.0,0.0,4382.692383,4379.615234,4363.461426,4386.922852,4381.153809,4383.717773,4383.589844,4392.05127,4382.436035,4363.077148,4474.615234,4547.05127,4406.410156,4439.487305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768972966.432194,1768972966.432854,82.0,0.0,4381.922852,4374.230957,4364.487305,4390.128418,4381.025879,4384.743652,4383.333496,4388.461426,4380.512695,4360.128418,4474.102539,4543.589844,4400.769043,4437.820313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
