Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1769163666.855959,1769163666.857312,5.0,0.0,4159.615234,4248.974121,4137.05127,4309.230957,4306.153809,4296.922852,4312.436035,4298.205078,4287.179688,4303.846191,4586.794922,4552.563965,4430.384766,4512.179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.863767,1769163666.865221,6.0,0.0,4172.94873,4259.487305,4146.794922,4315.897461,4306.538574,4289.102539,4307.692383,4298.461426,4294.871582,4311.794922,4598.205078,4566.538574,4441.282227,4523.974121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.871575,1769163666.873029,7.0,0.0,4176.282227,4262.692383,4154.358887,4321.282227,4306.025879,4287.563965,4304.743652,4297.179688,4294.871582,4312.820313,4600.769043,4567.179688,4444.487305,4523.461426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.879384,1769163666.880938,8.0,0.0,4170.769043,4257.692383,4150.128418,4318.461426,4306.538574,4295.641113,4308.846191,4295.0,4290.384766,4307.692383,4595.0,4554.230957,4440.384766,4519.102539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.887192,1769163666.888746,9.0,0.0,4175.512695,4259.615234,4145.897461,4318.846191,4306.538574,4292.436035,4308.589844,4295.641113,4289.358887,4309.743652,4597.307617,4560.512695,4444.102539,4524.743652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.895001,1769163666.896455,10.0,0.0,4185.128418,4266.794922,4149.102539,4325.512695,4302.820313,4281.282227,4300.128418,4295.641113,4284.871582,4306.794922,4598.717773,4574.102539,4445.128418,4526.538574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.902809,1769163666.904263,11.0,0.0,4187.179688,4268.974121,4152.05127,4327.05127,4300.512695,4281.922852,4296.922852,4291.410156,4276.025879,4292.692383,4586.282227,4562.692383,4431.153809,4515.641113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.910618,1769163666.911872,12.0,0.0,4192.179688,4271.794922,4153.974121,4324.358887,4303.974121,4293.333496,4299.615234,4289.487305,4274.743652,4289.615234,4583.846191,4551.666504,4426.025879,4508.974121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.918426,1769163666.91968,13.0,0.0,4198.333496,4274.615234,4148.974121,4323.974121,4305.384766,4295.384766,4300.769043,4295.897461,4281.538574,4302.436035,4593.205078,4559.615234,4437.436035,4516.410156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.926235,1769163666.927389,14.0,0.0,4200.128418,4275.769043,4140.897461,4324.487305,4303.333496,4284.871582,4299.871582,4299.230957,4282.05127,4308.589844,4593.077148,4564.102539,4443.717773,4525.256348,1.252508,0.668642,0.204413,0.388438,0.267532,0.548033,0.18042,0.178473,0.236294,0.247287,1.196138,0.268001,0.134779,0.150413,0.211366,0.684968,0.361573,0.216207,0.211113,0.154995,0.373253,0.074074,0.100348,0.143517,0.070125,0.762708,0.285894,0.095688,0.157126,0.425277,0.373462,0.256978,0.182934,0.168482,0.274231,0.733209,0.711165,0.238821,0.135601,0.136752,0.80132,0.229411,0.560009,0.107769,0.167644,0.798419,0.274497,0.383023,0.250441,0.172879,0.901483,0.404697,0.318126,0.265934,0.131637,1.3066,0.408988,0.246638,0.228425,0.17935,1.22511,0.642481,0.34783,0.2598,0.254049,0.640169,0.510135,0.245578,0.323732,0.320914
1769163666.934043,1769163666.935197,15.0,0.0,4200.897461,4277.94873,4145.641113,4325.512695,4304.358887,4283.589844,4300.384766,4298.589844,4280.897461,4303.974121,4590.384766,4564.358887,4442.692383,4525.641113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.941852,1769163666.942806,16.0,0.0,4204.102539,4280.256348,4155.512695,4328.589844,4305.512695,4295.0,4306.410156,4300.0,4284.615234,4301.153809,4592.94873,4565.256348,4443.077148,4522.563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.94966,1769163666.950614,17.0,0.0,4204.743652,4279.487305,4151.025879,4328.589844,4306.410156,4297.307617,4312.820313,4299.102539,4283.717773,4303.077148,4593.974121,4562.820313,4444.487305,4520.128418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.957468,1769163666.958523,18.0,0.0,4201.282227,4277.436035,4141.025879,4325.897461,4310.641113,4291.025879,4310.384766,4297.692383,4280.256348,4307.563965,4597.692383,4563.974121,4445.769043,4520.897461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.965277,1769163666.966331,19.0,0.0,4202.436035,4279.615234,4142.563965,4331.282227,4314.487305,4292.307617,4305.0,4294.358887,4284.871582,4310.897461,4603.461426,4569.615234,4445.769043,4520.512695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.973085,1769163666.974339,20.0,0.0,4206.410156,4282.179688,4144.358887,4338.717773,4314.615234,4297.94873,4307.692383,4294.871582,4292.820313,4309.743652,4598.333496,4568.205078,4442.179688,4511.153809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.980894,1769163666.982148,21.0,0.0,4203.846191,4280.256348,4142.94873,4336.282227,4313.846191,4298.846191,4312.179688,4305.128418,4294.615234,4308.974121,4594.358887,4565.769043,4441.282227,4507.179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.988702,1769163666.989856,22.0,0.0,4201.794922,4277.820313,4143.461426,4334.487305,4313.717773,4297.563965,4310.641113,4306.410156,4293.846191,4312.692383,4601.025879,4568.589844,4443.974121,4512.05127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163666.996511,1769163666.997665,23.0,0.0,4208.333496,4280.512695,4140.897461,4338.717773,4314.615234,4295.897461,4307.820313,4297.179688,4293.333496,4312.179688,4601.025879,4568.589844,4442.563965,4507.94873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.004319,1769163667.005273,24.0,0.0,4209.102539,4277.692383,4136.922852,4335.128418,4313.846191,4301.282227,4311.025879,4300.769043,4293.974121,4308.846191,4598.333496,4569.871582,4441.410156,4512.179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.012128,1769163667.013082,25.0,0.0,4201.410156,4266.666504,4136.410156,4326.282227,4308.974121,4309.102539,4313.461426,4312.94873,4296.666504,4310.512695,4601.153809,4572.94873,4445.0,4525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.019936,1769163667.02079,26.0,0.0,4201.282227,4264.615234,4134.358887,4326.282227,4305.897461,4305.512695,4311.922852,4313.717773,4296.153809,4312.179688,4600.0,4570.384766,4444.871582,4516.666504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.027744,1769163667.028599,27.0,0.0,4201.666504,4266.794922,4124.615234,4326.410156,4308.077148,4296.153809,4310.897461,4306.025879,4292.94873,4311.025879,4593.461426,4565.256348,4439.743652,4500.512695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.035553,1769163667.036607,28.0,0.0,4198.205078,4264.615234,4117.820313,4325.769043,4311.025879,4296.025879,4310.769043,4300.128418,4292.307617,4311.025879,4595.256348,4565.769043,4440.256348,4505.769043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.043361,1769163667.044416,29.0,0.0,4201.025879,4267.820313,4120.897461,4332.179688,4310.641113,4299.358887,4310.897461,4296.538574,4294.230957,4312.05127,4598.974121,4568.846191,4445.256348,4513.717773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769163667.05117,1769163667.052324,30.0,0.0,4203.589844,4276.922852,4122.179688,4335.897461,4308.974121,4295.769043,4309.871582,4298.461426,4293.077148,4311.025879,4595.0,4568.461426,4443.589844,4507.692383,1.125954,0.600825,0.204799,0.404543,0.288248,0.536945,0.189548,0.176423,0.222136,0.259668,1.25245,0.254701,0.157259,0.154196,0.218905,0.73377,0.384131,0.26772,0.221081,0.171683,0.391537,0.076534,0.097442,0.139184,0.069225,0.871918,0.284065,0.105384,0.160834,0.3998,0.414476,0.267252,0.219024,0.176248,0.256832,0.812344,0.751734,0.329969,0.137467,0.133674,0.836612,0.231623,0.682129,0.095817,0.182014,0.893313,0.277677,0.430631,0.25475,0.188768,1.044132,0.408215,0.331042,0.2624,0.149996,1.51497,0.45921,0.269114,0.233385,0.175567,1.440887,0.66878,0.36294,0.249214,0.253393,0.722645,0.553608,0.254558,0.324536,0.316126
