Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1768918174.236076,1768918174.236941,99.0,0.0,4333.974121,4322.820313,4338.846191,4351.025879,4326.282227,4325.512695,4316.410156,4289.102539,4221.794922,4290.769043,4494.615234,4519.487305,4404.358887,4457.820313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.243885,1768918174.244549,100.0,0.0,4332.179688,4324.487305,4343.333496,4357.179688,4325.0,4326.922852,4322.179688,4296.794922,4231.538574,4295.0,4508.589844,4521.282227,4412.563965,4458.205078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.251693,1768918174.252356,101.0,0.0,4339.615234,4326.666504,4344.102539,4358.589844,4325.641113,4325.897461,4321.153809,4297.820313,4235.128418,4296.025879,4510.769043,4522.94873,4414.358887,4456.922852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.259502,1768918174.260063,102.0,0.0,4343.077148,4324.871582,4341.025879,4352.94873,4322.179688,4320.256348,4311.666504,4294.743652,4233.846191,4298.461426,4505.0,4520.641113,4410.512695,4457.179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.267311,1768918174.267871,103.0,0.0,4342.307617,4324.487305,4339.743652,4355.897461,4322.692383,4316.794922,4308.589844,4295.641113,4234.743652,4305.512695,4507.307617,4519.102539,4409.230957,4457.436035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.275119,1768918174.275478,104.0,0.0,4348.846191,4330.384766,4347.820313,4363.846191,4326.153809,4320.0,4314.487305,4299.487305,4240.512695,4310.641113,4518.846191,4528.717773,4418.077148,4466.666504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.282927,1768918174.283285,105.0,0.0,4352.563965,4331.410156,4356.153809,4361.025879,4325.512695,4321.538574,4322.179688,4300.769043,4248.461426,4311.794922,4526.794922,4541.922852,4428.717773,4478.589844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.290736,1768918174.290993,106.0,0.0,4342.307617,4323.974121,4350.641113,4355.128418,4324.871582,4321.922852,4323.974121,4299.487305,4250.0,4311.282227,4526.538574,4539.615234,4429.230957,4476.538574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.298545,1768918174.2988,107.0,0.0,4335.641113,4321.538574,4338.461426,4356.666504,4325.0,4325.641113,4326.794922,4301.153809,4246.538574,4306.410156,4520.897461,4525.512695,4420.128418,4468.974121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768918174.306353,1768918174.306807,108.0,0.0,4348.589844,4328.974121,4337.307617,4360.0,4324.487305,4324.743652,4325.0,4301.922852,4249.102539,4302.307617,4510.769043,4521.282227,4413.205078,4473.717773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
